_id,spotify_features.danceability,spotify_features.energy,spotify_features.key,spotify_features.loudness,spotify_features.mode,spotify_features.speechiness,spotify_features.acousticness,spotify_features.instrumentalness,spotify_features.liveness,spotify_features.valence,spotify_features.tempo,spotify_features.type,spotify_features.duration_ms,spotify_features.time_signature
5f6a623b61d3b237bb01415b,0.556,0.991,2,-5.007,1,0.0684,0.00396,0.00267,0.124,0.393,111.238,audio_features,134827,4
5f6a623b61d3b237bb01415c,0.32,0.97,11,-4.934,0,0.119,0.000155,0.175,0.275,0.553,156.153,audio_features,90400,4
5f6a623b61d3b237bb01415d,0.354,0.967,2,-5.58,1,0.0698,0.0000471,0.728,0.0361,0.558,116.074,audio_features,170600,4
5f6a623b61d3b237bb01415e,,,,,,,,,,,,,,
5f6a623b61d3b237bb01415f,,,,,,,,,,,,,,
5f6a623b61d3b237bb014160,,,,,,,,,,,,,,
5f6a623b61d3b237bb014161,,,,,,,,,,,,,,
5f6a623b61d3b237bb014162,0.361,0.524,4,-11.14,0,0.0712,0.544,0.83,0.625,0.439,219.854,audio_features,39493,4
5f6a623b61d3b237bb014163,0.268,0.946,2,-4.814,0,0.125,0.00141,0.0431,0.167,0.429,173.159,audio_features,162573,4
5f6a623b61d3b237bb014164,0.326,0.962,4,-4.068,0,0.0514,0.0000719,0.074,0.524,0.548,129.163,audio_features,155333,4
5f6a623b61d3b237bb014165,0.367,0.701,10,-6.818,1,0.0614,0.00415,0.00036,0.138,0.453,150.374,audio_features,186933,4
5f6a623b61d3b237bb014166,0.254,0.986,9,-3.477,1,0.234,0.00152,0.0000123,0.114,0.337,159.262,audio_features,118867,4
5f6a623b61d3b237bb014167,0.412,0.957,6,-4.23,0,0.058,0.000198,0.00192,0.305,0.557,109.948,audio_features,184160,4
5f6a623b61d3b237bb014168,0.352,0.991,9,-3.515,1,0.125,0.00449,0.017,0.216,0.249,146.145,audio_features,91733,4
5f6a623b61d3b237bb014169,0.332,0.966,9,-4.334,0,0.106,0.000121,0.00243,0.0484,0.406,134.292,audio_features,233307,3
5f6a623b61d3b237bb01416a,0.396,0.986,11,-4.467,0,0.0574,0.000981,0.000409,0.23,0.546,110.72,audio_features,207693,4
5f6a623b61d3b237bb01416b,0.267,0.982,9,-3.932,0,0.154,0.000257,0.182,0.0538,0.456,171.252,audio_features,174200,4
5f6a623b61d3b237bb01416c,0.247,0.965,8,-3.553,1,0.116,0.00006,0.0369,0.0983,0.483,161.324,audio_features,182133,4
5f6a623b61d3b237bb01416d,0.346,0.888,2,-5.568,1,0.0439,0.00414,0.00554,0.148,0.264,146.075,audio_features,261400,4
5f6a623b61d3b237bb01416e,0.262,0.945,4,-5.235,0,0.119,0.000593,0.00685,0.105,0.21,163.571,audio_features,234627,3
5f6a623b61d3b237bb01416f,,,,,,,,,,,,,,
5f6a623b61d3b237bb014170,,,,,,,,,,,,,,
5f6a623b61d3b237bb014171,,,,,,,,,,,,,,
5f6a623b61d3b237bb014172,0.505,0.858,7,-3.643,1,0.0333,0.000613,0.39,0.319,0.256,90.006,audio_features,197733,4
5f6a623b61d3b237bb014173,0.514,0.937,7,-3.518,1,0.0538,0.000954,0.0000556,0.504,0.545,94.982,audio_features,169333,4
5f6a623b61d3b237bb014174,0.418,0.919,9,-4.082,0,0.0545,0.000587,0.00703,0.214,0.346,174.965,audio_features,174133,4
5f6a623b61d3b237bb014175,0.379,0.948,2,-2.624,1,0.0696,0.000507,0.00669,0.208,0.446,174.947,audio_features,176387,4
5f6a623b61d3b237bb014176,0.299,0.867,11,-3.879,0,0.0476,0.000448,0.291,0.108,0.512,171.841,audio_features,224200,4
5f6a623b61d3b237bb014177,0.433,0.97,11,-3.075,0,0.0902,0.0000972,0.365,0.202,0.678,163.938,audio_features,208867,4
5f6a623b61d3b237bb014178,0.442,0.96,0,-2.907,1,0.0627,0.0000573,0.112,0.274,0.424,103.867,audio_features,199013,4
5f6a623b61d3b237bb014179,0.294,0.775,4,-4.271,0,0.0454,0.00291,0.000727,0.254,0.471,131.092,audio_features,200920,3
5f6a623b61d3b237bb01417a,0.232,0.951,0,-2.156,1,0.0888,0.000126,0.261,0.26,0.329,197.862,audio_features,160307,4
